罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,被害者の年齢,被害者の職業,施錠関係
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,葛城１丁目,2023-02-18,22,一戸建住宅,その他,10歳代,高校生,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,新宿１丁目,2023-06-29,09,その他,駐車（輪）場,70歳以上,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,新宿１丁目,2023-07-12,10,その他,その他,50歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,新宿１丁目,2023-09-23,09,４階建て以上共同住宅,その他,40歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,新宿１丁目,不明,不明,４階建て以上共同住宅,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,新宿２丁目,2023-02-25,01,４階建て以上共同住宅,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,新宿２丁目,2023-06-30,15,道路上,その他,10歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,新宿２丁目,2023-08-01,19,４階建て以上共同住宅,駐車（輪）場,10歳代,小学生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,新宿２丁目,2023-08-21,09,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,新宿２丁目,2023-08-28,22,その他,その他,法人・団体、被害者なし,法人・団体、被害者なし,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,新宿２丁目,2023-09-13,18,４階建て以上共同住宅,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,新宿２丁目,2023-12-12,19,４階建て以上共同住宅,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,新田町,2023-04-27,18,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,新田町,2023-10-12,18,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,神明町,2023-04-29,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,40歳代,その他,施錠した
