KEY_CODE,HYOSYO,CITYNAME,NAME,人口総数,男,女,世帯総数
12101,1,千葉市中央区,,211736,105766,105970,109336
121010010,2,千葉市中央区,青葉町,2671,1238,1433,1042
121010020,2,千葉市中央区,赤井町,1811,885,926,594
121010030,2,千葉市中央区,旭町,1054,520,534,563
121010040,2,千葉市中央区,市場町,517,271,246,326
121010050,3,千葉市中央区,稲荷町,2022,1029,993,1178
12101005001,4,千葉市中央区,稲荷町一丁目,756,389,367,380
12101005002,4,千葉市中央区,稲荷町二丁目,628,318,310,375
12101005003,4,千葉市中央区,稲荷町三丁目,638,322,316,423
121010060,3,千葉市中央区,亥鼻,1479,662,817,930
12101006001,4,千葉市中央区,亥鼻一丁目,424,135,289,309
12101006002,4,千葉市中央区,亥鼻二丁目,393,190,203,210
12101006003,4,千葉市中央区,亥鼻三丁目,662,337,325,411
121010070,3,千葉市中央区,今井,4382,2223,2159,2720
12101007001,4,千葉市中央区,今井一丁目,1442,717,725,880
12101007002,4,千葉市中央区,今井二丁目,1445,717,728,916
12101007003,4,千葉市中央区,今井三丁目,1495,789,706,924
121010080,2,千葉市中央区,今井町,863,480,383,477
121010090,3,千葉市中央区,院内,1481,740,741,1043
12101009001,4,千葉市中央区,院内一丁目,733,365,368,572
12101009002,4,千葉市中央区,院内二丁目,748,375,373,471
121010100,2,千葉市中央区,鵜の森町,1202,590,612,509
121010110,2,千葉市中央区,大森町,5150,2680,2470,2546
121010120,2,千葉市中央区,生実町,6770,3420,3350,2870
121010130,3,千葉市中央区,春日,3253,1568,1685,1938
12101013001,4,千葉市中央区,春日一丁目,1454,727,727,832
12101013002,4,千葉市中央区,春日二丁目,1799,841,958,1106
121010140,3,千葉市中央区,葛城,2846,1460,1386,1616
12101014001,4,千葉市中央区,葛城一丁目,673,342,331,307
12101014002,4,千葉市中央区,葛城二丁目,1127,571,556,713
12101014003,4,千葉市中央区,葛城三丁目,1046,547,499,596
121010150,2,千葉市中央区,要町,686,352,334,504
121010160,2,千葉市中央区,亀井町,696,346,350,389
121010170,2,千葉市中央区,亀岡町,574,281,293,321
121010180,2,千葉市中央区,川崎町,-,-,-,-
121010190,2,千葉市中央区,川戸町,3347,1613,1734,1357
121010200,2,千葉市中央区,栄町,354,176,178,282
121010210,3,千葉市中央区,寒川町,2094,1074,1020,1206
12101021001,4,千葉市中央区,寒川町一丁目,631,340,291,372
12101021002,4,千葉市中央区,寒川町二丁目,582,308,274,338
12101021003,4,千葉市中央区,寒川町三丁目,881,426,455,496
121010220,2,千葉市中央区,塩田町,1403,757,646,603
121010230,2,千葉市中央区,汐見丘町,1339,668,671,766
121010240,3,千葉市中央区,白旗,3596,1847,1749,1953
12101024001,4,千葉市中央区,白旗一丁目,950,458,492,600
12101024002,4,千葉市中央区,白旗二丁目,1198,633,565,664
12101024003,4,千葉市中央区,白旗三丁目,1448,756,692,689
121010250,3,千葉市中央区,新宿,6532,3276,3256,3490
12101025001,4,千葉市中央区,新宿一丁目,2613,1356,1257,1661
12101025002,4,千葉市中央区,新宿二丁目,3919,1920,1999,1829
121010260,3,千葉市中央区,新千葉,2303,1113,1190,1393
12101026001,4,千葉市中央区,新千葉一丁目,13,5,8,11
12101026002,4,千葉市中央区,新千葉二丁目,1168,598,570,750
12101026003,4,千葉市中央区,新千葉三丁目,1122,510,612,632
121010270,2,千葉市中央区,新田町,2012,1011,1001,1353
121010280,2,千葉市中央区,新町,749,346,403,496
121010290,2,千葉市中央区,神明町,3640,1787,1853,2094
121010300,3,千葉市中央区,末広,4912,2500,2412,2921
12101030001,4,千葉市中央区,末広一丁目,1085,549,536,716
12101030002,4,千葉市中央区,末広二丁目,829,401,428,466
12101030003,4,千葉市中央区,末広三丁目,1331,655,676,726
12101030004,4,千葉市中央区,末広四丁目,899,466,433,530
12101030005,4,千葉市中央区,末広五丁目,768,429,339,483
