,罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,被害者の年齢,被害者の職業,施錠関係,住所,lat,lon
0,窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,新宿１丁目,2022-02-10,08,その他,駐車（輪）場,50歳代,その他,施錠せず,千葉市中央区新宿１丁目,35.605099,140.113571
1,窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,新宿１丁目,2022-03-22,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した,千葉市中央区新宿１丁目,35.605099,140.113571
2,窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,新宿１丁目,2022-11-06,18,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠した,千葉市中央区新宿１丁目,35.605099,140.113571
3,窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,新宿２丁目,2022-03-01,21,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠した,千葉市中央区新宿２丁目,35.606899,140.115601
4,窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,新宿２丁目,2022-04-07,09,その他,その他,40歳代,その他,施錠した,千葉市中央区新宿２丁目,35.606899,140.115601
5,窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,新宿２丁目,2022-07-03,00,道路上,その他,40歳代,その他,施錠せず,千葉市中央区新宿２丁目,35.606899,140.115601
6,窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,新宿２丁目,2022-07-17,21,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠した,千葉市中央区新宿２丁目,35.606899,140.115601
7,窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,新宿２丁目,2022-09-02,05,その他,その他,20歳代,大学生,施錠せず,千葉市中央区新宿２丁目,35.606899,140.115601
8,窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,新田町,2022-02-13,17,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠した,千葉市中央区新田町,35.607742,140.111053
9,窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,新田町,2022-02-15,00,一戸建住宅,駐車（輪）場,30歳代,その他,施錠した,千葉市中央区新田町,35.607742,140.111053
10,窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,新田町,2022-06-05,17,４階建て以上共同住宅,駐車（輪）場,10歳代,大学生,施錠した,千葉市中央区新田町,35.607742,140.111053
11,窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,神明町,2022-01-25,07,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠せず,千葉市中央区神明町,35.601719,140.11618
