全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
170003,AA0000000001,石川県,石川県湖南運動公園,イシカワケンコナンウンドウコウエン,Ishikawa Prefecture Konan Sports Park,湖南公園,1106,,,172014,,石川県金沢市八田町西1番地,石川県,金沢市,八田町西,1,湖南運動公園,36.63250184,136.6752206,,,(076)268-6222,,,,,,5220005000175,一般財団法人石川県県民ふれあい公社,月火水木金土日,5:00,21:00,12/29~1/3利用不可、サッカー場12/1～4/30まで利用不可,野球場3面、サッカー場、アーチェリー場設置,可,無,無,無,無,無,無,無,無,無,無,無,無,無,可,無,無,https://www.pref.ishikawa.lg.jp/tikusan/konan/konan.html,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000002,石川県,海洋漁業科学館,カイヨウギョギョウカガクカン,Science Museum of Oceangraphy and Fisheries,うみとさかなの科学館,0801,,,174637,,石川県鳳珠郡能登町字宇出津新港3-7,石川県,鳳珠郡能登町,字宇出津新港,3-7,,37.296846,137.148575,,,(0768)62-4655,,,,,,2000020170003,石川県,火水木金土日,9:30,16:30,入館は16時まで。休館日は毎週月曜日（祝日は開館）および12月29日～1月3日。,海と魚の知識や、石川県の水産業の現況を紹介する施設,可,有,無,有,有,有,無,有,無,無,有,無,無,有,否,無,有,https://www.pref.ishikawa.lg.jp/suisan/center/kagakukan/toppage.html,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,入館無料。点字ブロックは一部有。
170003,AA0000000003,石川県,石川県安全運転研修所,イシカワケンアンゼンウンテンケンシュウショ,Ishikawa Safe Driving Center,-,1399,,,170003,,石川県金沢市東蚊爪町2丁目1番地,石川県,金沢市,東蚊爪町2丁目,1番地,,36.63674,136.65978,,,(076)237-2735,,,,,,8220005000180,一般財団法人石川県交通安全協会,月火木金土日,9:00,17:00,水曜日、祝日、年末年始（12/29～1/3）は利用不可,実車による３つの研修コースで安全運転の基本を学ぶ,可,無,無,有,有,無,無,無,無,無,有,無,無,無,可,無,無,https://www.i-ankyo.jp/training/,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000004,石川県, 能登空港,ノトクウコウ,NOTOAIRPORT,のと里山空港,3801,,,172049,,石川県輪島市三井町洲衛１０部１１番地１,石川県,輪島市,三井町洲衛,10部11番地1,,37.29436,136.95764,,,(0768)26-2100,,,,,,-,能登空港管理事務所,月火水木金土日,8:30,17:30,年中無休,空港施設,可,有,無,有,有,有,有,有,有,有,有,有,有,有,可,有,有,https://www.noto-airport.jp/,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000005,石川県,石川県女性センター,イシカワケンジョセイセンター,Ishikawa prefectural center for women,女性センター,1399,,,170003,,石川県金沢市三社町１－４４,石川県,金沢市,三社町,1-44,,36.5709808,136.6457627,,,(076)263-0115,,,,,,8220005000189,一般財団法人石川県女性センター,月火水木金土日,9:00,21:00,年末年始（12/29～1/3）は休館,女性の地位向上と社会参加の促進に資することを目的とした施設,可,無,無,有,有,有,有,有,-,有,有,有,有,有,可,無,有,https://www.pref.ishikawa.lg.jp/jyoseicenter/index.html,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000006,石川県,石川県立美術館,イシカワケンリツビジュツカン,Ishikawa Prefectural Museum of Art,,0802,,,172014,,石川県金沢市出羽町2-1,石川県,金沢市,出羽町,2-1,,36.56058,136.66145,,,(076)231-7580,,,,,,2000020170003,石川県,月火水木金土日,9:30,18:00,展示替え期間中と年末年始は利用不可,美術館,可,有,無,有,有,有,有,有,無,有,有,無,無,無,可,有,有,https://www.ishibi.pref.ishikawa.jp/,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000007,石川県,石川県立歴史博物館,イシカワケンリツレキシハクブツカン,Ishikawa Prefectural Museum of History,,0801,,,172014,,石川県金沢市出羽町3-1,石川県,金沢市,出羽町,3-1,,36.5588,136.66277,,,(076)262-3236,,,,,,2000020170003,石川県,月火水木金土日,9:00,17:00,当館の休館日は利用不可,石川県の歴史を紹介,可,有,有,有,有,有,無,有,無,無,有,有,有,有,否,無,有,https://ishikawa-rekihaku.jp/,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000008,石川県,石川県立図書館,イシカワケンリツトショカン,Ishikawa Prefectural Library,百万石ビブリオバウム,1512,,,172014,,石川県金沢市小立野2丁目43-1,石川県,金沢市,小立野2丁目,43-1,,36.54913,136.67993,,,(076)223-9565,,,,,,2000020170003,石川県,火水木金土日,9:00,21:00,【閲覧エリア】平日/09:00～19:00、土日祝日/09:00～18:00;【文化交流エリア】平日/09:00～21:00、土日祝日/09:00～18:00;【休館日】月曜日（祝日の場合は翌平日）、年末年始、特別整理期間,図書館、研修室等の有料貸スペース有り,可,有,無,有,有,有,有,有,有,有,有,有,有,有,可,有,有,https://www.library.pref.ishikawa.lg.jp/,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
170003,AA0000000009,石川県,石川県立白山ろく民俗資料館,イシカワケンリツハクサンロクミンゾクシリョウカン,"Hakusan folk museum,Ishikawa prefecture",資料館（白峰地区限定）,0803,,,172103,,石川県白山市白峰リ30,石川県,白山市,白峰,リ30,,36.18023,136.62222,,,(076)259-2665,,,,,,2000020170003,石川県,月火水金土日,9:00,16:30,木曜日は休館日（木曜日が祝日の場合はその翌日）,白山ろくの自然環境の中で生み出された歴史、考古、民俗、信仰などの文化遺産の収集と展示を目的としています。,可,有,無,無,有,有,無,有,無,無,有,無,無,無,可,無,有,http://www.pref.ishikawa.jp/hakusanminzoku/,,,
170003,AA0000000010,石川県,石川県立能楽堂,イシカワケンリツノウガクドウ,Ishikawa Prefectural Noh Theater,,1015,,,172014,,石川県金沢市石引4丁目18-3,石川県,金沢市,石引4丁目,18-3,,36.55973,136.66327,,,(076)264-2598,,,,,,2000020170003,石川県,火水木金土日,9:00,22:00,見学は午後5時まで（入館は午後4時30分まで）;毎週月曜日、国民の祝日（ただし、文化の日を除く） 年末年始（12月29日から1月3日）は利用不可,全国初の独立した公立能楽堂として昭和47年開館,可,有,無,有,有,無,無,有,無,無,有,無,無,無,否,無,無,https://noh-theater.jp/,https://www.pref.ishikawa.lg.jp/johosei/publicfacility_picture.html,CC BY 4.0,
